index,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
506,ROOFTOP,"2245 Lawrence Ave W, Etobicoke, ON M9P 3W3, Canada",ChIJB94cI84wK4gRFJ9ooseyQ9c,"2245 Lawrence Ave W, Toronto, Ontario, Canada",43.6968243,-79.5262318,1,M9P 3W3,OK,street_address
507,ROOFTOP,"305 Balliol St, Toronto, ON M4S, Canada",ChIJ_QjKZTYzK4gRZjpPuV8SI_A,"305 Balliol St, Toronto, Ontario, Canada",43.698932,-79.3868671,1,M4S,OK,premise
508,ROOFTOP,"1238 Queen St E, Toronto, ON M4L 1C3, Canada",ChIJ0TT4VoPL1IkR9t19gGXGP38,"1238 Queen St E, Toronto, Ontario, Canada",43.6636476,-79.3298035,1,M4L 1C3,OK,premise
509,ROOFTOP,"1020 McNicoll Ave, Scarborough, ON M1W 2J6, Canada",ChIJC67mmwrT1IkReOCrONUFjcU,"1020 McNicoll Ave, Toronto, Ontario, Canada",43.8057618,-79.33598,1,M1W 2J6,OK,street_address
510,ROOFTOP,"3595 Keele St, North York, ON M3J 1M7, Canada",ChIJD3z84O4xK4gRAijRL8JarJY,"3595 Keele St, Toronto, Ontario, Canada",43.7511756,-79.4855923,1,M3J 1M7,OK,premise
511,ROOFTOP,"2121 Kingston Rd, Scarborough, ON M1N 1T5, Canada",ChIJiQkBr_nO1IkRfXR0rYl7WjI,"2121 Kingston Rd, Toronto, Ontario, Canada",43.7005755,-79.2542332,1,M1N 1T5,OK,premise
512,ROOFTOP,"2005 Lawrence Ave W, York, ON M9N 3V4, Canada",ChIJb9c7fSYxK4gRlbSJeDpkmmo,"2005 Lawrence Ave W, Toronto, Ontario, Canada",43.701231,-79.510148,1,M9N 3V4,OK,street_address
513,ROOFTOP,"205 Cummer Ave, North York, ON M2M 2E8, Canada",ChIJw3CdRhktK4gRgkWMbpgWymw,"205 Cummer Ave, Toronto, Ontario, Canada",43.7881531,-79.4075583,1,M2M 2E8,OK,premise
514,ROOFTOP,"60 Scottfield Dr, Scarborough, ON M1S 5T7, Canada",ChIJu6y2vC_R1IkROUiOtxMaoM0,"60 Scottfield Dr, Toronto, Ontario, Canada",43.8090793,-79.2543009,1,M1S 5T7,OK,street_address
515,ROOFTOP,"3197 Lake Shore Blvd W, Etobicoke, ON M8V 4B7, Canada",ChIJG3EbpjVIK4gRFqAp2XrS_Mo,"3197 Lakeshore Blvd W, Toronto, Ontario, Canada",43.5972081,-79.5184519,1,M8V 4B7,OK,premise
516,ROOFTOP,"3830 Lawrence Ave E, Scarborough, ON M1G 1R6, Canada",ChIJK5hAMXDQ1IkRTMeKgr6y_Vo,"3830 Lawrence Ave E, Toronto, Ontario, Canada",43.7637478,-79.2101212,1,M1G 1R6,OK,premise
517,ROOFTOP,"1066 Avenue Rd, Toronto, ON M5N 0A3, Canada",ChIJxR7ZGREzK4gR_ISpOPLISF4,"1066 Avenue Rd, Toronto, Ontario, Canada",43.7058269,-79.4102128,1,M5N 0A3,OK,premise
518,ROOFTOP,"610 University Ave, Toronto, ON M5G 2M9, Canada",ChIJeXrnbMg0K4gR4ZeQCsd0MzA,"610 University Ave, Toronto, Ontario, Canada",43.6581169,-79.3907253,1,M5G 2M9,OK,premise
519,ROOFTOP,"3276 St Clair Ave E, Scarborough, ON M1L 3R7, Canada",ChIJkzW0XXnO1IkRm3FiDTI7gTM,"3276 St Clair Ave E, Toronto, Ontario, Canada",43.7129414,-79.2851737,1,M1L 3R7,OK,street_address
520,ROOFTOP,"2920 Lawrence Ave E, Scarborough, ON M1P 2T8, Canada",ChIJRQoGuM7R1IkRlS1Gfrl7uXo,"2920 Lawrence Ave E, Toronto, Ontario, Canada",43.7549294,-79.2518362,1,M1P 2T8,OK,premise
521,ROOFTOP,"1 Overland Dr, North York, ON M3C 2C3, Canada",ChIJu7qwY23N1IkRZpuKQJunjnI,"1 Overland Dr, Toronto, Ontario, Canada",43.7324815,-79.3467684,1,M3C 2C3,OK,street_address
522,ROOFTOP,"718 Sheppard Ave W, North York, ON M3H 2S6, Canada",ChIJ2cBqeXMyK4gRcHeZvjcTlzY,"718 Sheppard Ave W, Toronto, Ontario, Canada",43.7542399,-79.4453406,1,M3H 2S6,OK,street_address
523,ROOFTOP,"92 Island Rd, Scarborough, ON M1C 2P5, Canada",ChIJ665qItvb1IkR4p5Qojqbkzo,"92 Island Rd, Toronto, Ontario, Canada",43.798541,-79.140051,1,M1C 2P5,OK,street_address
524,ROOFTOP,"4180 Dundas St W, Etobicoke, ON M8X 1X8, Canada",ChIJ8QpZVOM2K4gRXixbpCa2rxU,"4180 Dundas St W, Toronto, Ontario, Canada",43.6612466,-79.5100624,1,M8X 1X8,OK,premise
525,ROOFTOP,"1020 McNicoll Ave, Scarborough, ON M1W 2J6, Canada",ChIJC67mmwrT1IkReOCrONUFjcU,"1020 McNicoll Ave, Toronto, Ontario, Canada",43.8057618,-79.33598,1,M1W 2J6,OK,street_address
526,ROOFTOP,"60 Guildwood Pkwy, Scarborough, ON M1E 1N9, Canada",ChIJ7wtXiQjQ1IkRXNyAHJYmmmM,"60 Guildwood Pky, Toronto, Ontario, Canada",43.7468545,-79.2031279,1,M1E 1N9,OK,premise
527,ROOFTOP,"123 Spadina Rd, Toronto, ON M5R 2T1, Canada",ChIJkzE7S5g0K4gR0HUUrzrf8Lg,"123 Spadina Rd, Toronto, Ontario, Canada",43.6717109,-79.4054592,1,M5R 2T1,OK,street_address
528,ROOFTOP,"59 Lawson Rd, Scarborough, ON M1C 2J1, Canada",ChIJ__qyHk_a1IkRsIBruqdidIc,"59 Lawson Rd, Toronto, Ontario, Canada",43.7832308,-79.1633907,1,M1C 2J1,OK,street_address
529,ROOFTOP,"1340 York Mills Rd, North York, ON M3A 3R1, Canada",ChIJFTQGFmnS1IkR3rA-w7024xI,"1340 York Mills Rd, Toronto, Ontario, Canada",43.7632297,-79.3200614,1,M3A 3R1,OK,premise
530,ROOFTOP,"1925 Steeles Ave E, Thornhill, ON M2H, Canada",ChIJQdWzZTbT1IkRbunvnpxmumc,"1925 Steeles Ave E, Toronto, Ontario, Canada",43.8076512,-79.3737903,1,M2H,OK,premise
531,ROOFTOP,"399 Bathurst St, Toronto, ON M5T 2S8, Canada",ChIJ1dw0VOg0K4gRjtAfQ_-EOUY,"399 Bathurst St, Toronto, Ontario, Canada",43.6533856,-79.4059423,1,M5T 2S8,OK,premise
532,ROOFTOP,"66 Roncesvalles Ave, Toronto, ON M6R 3A8, Canada",ChIJL2pGGrY1K4gRYXP_lNAAjdY,"66 Roncesvalles Ave, Toronto, Ontario, Canada",43.6401995,-79.4473076,1,M6R 3A8,OK,street_address
533,ROOFTOP,"130 Midland Ave, Scarborough, ON M1N 4B2, Canada",ChIJf38fcVPO1IkR4TDKJY2ETMs,"130 Midland Ave, Toronto, Ontario, Canada",43.70835,-79.247493,1,M1N 4B2,OK,street_address
534,ROOFTOP,"30 The Queensway, Toronto, ON M6R 1B5, Canada",ChIJuVPgpck1K4gRNSC4H4V1O8c,"30 The Queensway, Toronto, Ontario, Canada",43.6405498,-79.4500166,1,M6R 1B5,OK,street_address
535,ROOFTOP,"2075 Bayview Ave, Toronto, ON M4N 3M5, Canada",ChIJ9etNjizN1IkRJNnFZ2HvTLY,"2075 Bayview Ave, Toronto, Ontario, Canada",43.7206484,-79.3780573,1,M4N 3M5,OK,premise
536,ROOFTOP,"30 The Queensway, Toronto, ON M6R 1B5, Canada",ChIJuVPgpck1K4gRNSC4H4V1O8c,"30 The Queensway, Toronto, Ontario, Canada",43.6405498,-79.4500166,1,M6R 1B5,OK,street_address
537,ROOFTOP,"439 Sherbourne St, Toronto, ON M4X 1K6, Canada",ChIJvW9-DU7L1IkRozU1MjJmjgE,"439 Sherbourne St, Toronto, Ontario, Canada",43.6663221,-79.3740181,1,M4X 1K6,OK,street_address
538,ROOFTOP,"351 Christie St, Toronto, ON M6G, Canada",ChIJmePKR4Y0K4gRNISjA_tz584,"351 Christie St, Toronto, Ontario, Canada",43.673169,-79.4217822,1,M6G,OK,street_address
539,ROOFTOP,"22 Norfinch Dr, North York, ON M3N 1X1, Canada",ChIJm-RfDzAwK4gRyCQqqQL0Zmg,"22 Norfinch Dr, Toronto, Ontario, Canada",43.756779,-79.5261834,1,M3N 1X1,OK,street_address
540,ROOFTOP,"221 Milner Ave, Scarborough, ON M1S 4P4, Canada",ChIJyS9rW-PQ1IkRJqOE9neWMb8,"221 Milner Ave, Toronto, Ontario, Canada",43.7881613,-79.2400488,1,M1S 4P4,OK,premise
541,ROOFTOP,"35 Elm Grove Ave, Toronto, ON M6K 2J2, Canada",ChIJl-ql9qs1K4gR27AiRpuvbn4,"35 Elm Grove Ave, Toronto, Ontario, Canada",43.6403073,-79.4306974,1,M6K 2J2,OK,premise
542,ROOFTOP,"825 Coxwell Ave, East York, ON M4C 3E7, Canada",ChIJcXGYu2fM1IkRUERyb3NyjBE,"825 Coxwell Ave, Toronto, Ontario, Canada",43.6899772,-79.324942,1,M4C 3E7,OK,street_address
543,ROOFTOP,"4001 Leslie St, North York, ON M2K 1E1, Canada",ChIJO9pISr_S1IkR7BbyY-VbFtU,"4001 Leslie St, Toronto, Ontario, Canada",43.7694685,-79.3625826,1,M2K 1E1,OK,street_address
